fees,vsize
3372,252
3953,1658
5641,405
219,145
1720,346
199,192
9816,813
4488,374
2712,222
1699,141
2185,166
1711,142
1219,209
206,202
3001,189
768,142
4003,221
1699,141
2549,142
1261,111
1711,143
534,209
10844,9131
206,202
2656,222
29682,144
10672,464
5000,412
831,246
423,142
448,223
2502,181
1728,144
2200,191
304,141
6860,192
920,183
3241,321
1200,223
1548,225
330,142
1815,144
7350,288
1958,133
428,144
330,142
1723,143
287,276
197,190
6680,6611
1113,369
165,165
1958,189
1134,190
320,314
1790,142
1777,141
34236,2833
3287,181
1692,141
2413,192
1699,141
1830,153
2646,210
380,189
2473,165
1968,113
2646,210
3499,347
2077,224
330,142
1305,142
2635,141
1537,111
3368,256
1735,144
468,200
37101,347
468,200
1699,141
1704,142
2266,205
540,178
423,142
2058,414
617,265
6467,223
1699,141
1816,223
206,202
7135,403
1498,111
1843,153
1332,111
365,180
32000,608
2185,166
1142,143
380,189
5670,188
2112,134
1699,141
894,144
807,180
330,142
1000,110
330,165
2975,223
1815,144
1704,142
1699,141
738,222
40000,290
1790,142
1332,111
1118,141
1030,205
432,142
336,144
327,141
2761,180
3247,223
2185,166
2537,210
1232,111
541,122
3143,1571
1305,142
199,192
732,652
1728,144
1058,316
3149,190
1692,141
1320,110
1600,183
878,142
1146,192
606,172
271,222
1711,142
1692,141
1378,454
1790,142
1332,111
26017,2174
1118,141
330,142
628,627
1704,142
1735,144
1908,145
2730,210
1777,141
2712,224
1332,111
295,122
327,141
2712,224
1910,190
1207,142
196,189
188,182
3586,289
1537,110
1332,111
1442,179
140000,1967
349,335
4400,223
32459,2687
1006,144
423,142
6654,517
1790,142
870,141
1711,142
1332,111
3149,190
1723,144
1711,142
1830,153
1620,179
538,268
1908,145
1735,144
3359,168
206,202
2656,222
1142,111
14484,142
6048,189
2598,205
1728,144
21765,1442
1332,111
1616,212
1766,878
188,182
327,141
4235,506
664,166
4800,258
3247,189
6618,476
1735,144
1537,111
1817,141
1810,145
678,223
3331,1105
336,144
330,142
2185,166
245870,14959
1699,141
386,166
1332,111
27387,176
3389,142
176,146
1464,122
2148,179
2668,223
1997,245
540,211
2634,209
2988,248
1692,141
2084,188
1142,113
1848,333
330,142
628,274
445,222
349,335
188,182
2185,166
2388,190
1210,111
5430,269
2646,209
1777,141
1134,190
327,141
1704,142
4310,227
419,141
234,172
256,256
1700,191
188,182
8415,348
1699,141
576,224
8950,370
2250,136
540,178
2033,224
8245,484
1711,142
8996,690
3153,1046
1711,142
1711,142
3713,224
998,111
7596,629
708,142
15762,142
1142,111
7677,4709
1735,144
419,142
1815,144
2202,734
2561,211
1704,142
1424,111
1332,111
744,280
55245,27446
1711,142
1298,142
1260,144
654,631
1815,144
1711,142
3480,289
336,144
3149,190
11160,371
330,142
7839,223
2162,1016
5352,223
4840,505
1380,275
2158,164
2354,173
2646,210
2180,257
224,192
1658,345
20000,349
330,142
1398,141
2158,164
2712,223
1877,210
1090,217
1726,133
1723,143
2065,225
2240,110
2712,223
177639,14778
103252,8597
514,256
1815,144
1927,153
3014,273
990,110
1320,110
3853,322
678,225
2215,961
1699,141
540,212
920,183
8345,655
6989,583
25356,2099
4332,361
1595,144
654,631
188,182
531,208
1595,144
3336,223
1704,142
206,202
2425,804
327,141
2634,209
1704,142
1185,191
532,214
336,144
1830,153
1016,113
660,165
327,141
1118,144
428,144
1723,143
2975,225
630,209
309,133
988,142
768,247
585,225
1715,143
3014,213
1537,111
1790,142
1296,141
1258,141
1088,141
327,141
197,190
349,338
606,172
3007,142
1699,141
289,144
2818,346
419,144
7612,692
531,209
4359,268
1398,141
206,202
1052,110
2672,212
25538,2134
1692,141
1128,189
623,208
6174,516
5670,188
92625,7700
1889,178
11341,822
56086,27868
1699,141
1704,142
2800,234
998,111
196,189
331,321
3321,224
2585,144
1316,144
736,163
541,179
146,141
1699,141
5781,5721
1361,110
2033,191
1815,144
330,142
327,141
2656,222
386,192
654,631
513,223
1045,210
2976,141
330,111
5000,267
1790,142
4140,344
1104,277
534,210
1699,141
2210,223
3018,326
3324,276
1846,141
1016,113
678,223
2444,276
336,144
382,190
349,338
1830,153
11330,336
1869,142
226,153
2668,223
336,144
11526,113
1537,122
1730,222
5000,304
26735,2234
423,142
12600,315
2551,110
1704,142
708,142
1025,204
234,173
1723,144
1540,166
1230,144
330,166
2244,113
10760,226
2185,166
2712,223
598,142
336,144
1441,450
3456,144
6273,473
1498,164
1134,190
678,189
1517,741
330,142
330,142
382,190
1910,190
1704,142
1711,142
1735,144
327,141
1356,113
3350,280
1698,142
6719,223
3321,223
22000,549
1859,225
100788,6088
2185,166
336,144
1728,144
6467,223
2172,181
1243,294
330,142
327,141
1954,210
1711,142
1711,142
2266,205
330,142
678,222
1699,141
1711,142
1711,142
2629,142
1720,133
1356,113
2112,189
1356,113
1537,111
1344,111
3389,141
1699,141
1711,142
1711,142
5000,142
18816,223
16999,502
2525,208
1711,142
1711,142
531,209
330,142
252,110
1699,141
1579,111
3654,289
9000,491
3108,259
4235,506
596,134
419,153
1699,141
1711,142
56086,27872
382,190
570,284
1704,142
2475,224
349,231
336,144
1208,142
2309,2309
1735,144
1699,141
382,190
1934,111
1711,142
1537,110
1230,144
1128,189
1692,141
2211,168
1728,144
1197,141
1118,144
678,223
336,144
330,142
330,142
1699,141
1711,142
5670,188
513,222
2259,249
227,100
423,141
6180,411
744,370
382,190
1711,142
1711,142
2158,164
1727,184
708,142
1735,144
1704,142
1208,142
417,134
330,142
3468,347
206,202
1711,142
2266,205
1356,113
2172,181
1777,141
2975,257
1540,166
699,226
428,142
1025,205
1777,141
1711,142
4104,450
905,180
330,142
1711,142
419,142
154,153
3010,206
2255,204
26280,2196
2376,226
961,335
9300,516
1356,113
1710,189
570,189
428,144
752,370
330,142
1542,166
1882,143
2712,225
1356,113
336,144
456,227
253,110
1699,141
1711,142
1692,141
330,142
46759,287
1957,141
1776,209
269,153
2148,179
53361,440
274,172
1815,144
1688,211
336,144
18816,223
2525,209
1735,144
2646,210
65483,425
1208,142
681,225
330,110
336,144
678,225
2640,142
3516,278
1711,142
1246,134
926,207
327,141
513,223
233,224
206,202
1351,113
2981,271
2231,224
4235,505
1699,141
1735,144
28043,27865
1540,141
10000,223
1917,209
1464,122
1728,144
2646,209
4464,367
2266,205
1208,142
1197,141
927,181
333,110
197,190
2264,1129
1356,113
1961,166
400,142
330,142
419,144
4010,223
1142,110
3516,277
1607,134
541,177
423,142
1323,144
2158,164
2148,179
336,144
336,144
1735,144
1711,142
1537,113
1026,512
1711,142
71600,179
3503,277
2255,204
1611,177
541,179
2443,224
990,122
2634,208
2964,246
1920,192
10540,338
2316,212
369,138
1711,142
1356,113
1699,141
1122,340
1464,122
678,223
3549,273
513,222
1711,142
409,177
5859,189
4966,413
1711,142
330,142
1699,141
143,142
2094,224
700,208
336,144
1711,142
1711,142
2266,205
2160,144
2211,168
2254,296
3327,505
330,142
327,141
2075,225
2531,141
7266,7193
1815,144
1777,141
18908,1580
2266,205
1395,153
895,179
336,144
330,142
327,141
1735,144
1711,142
1699,141
1699,141
336,144
3207,142
1692,141
1790,142
664,166
678,223
423,142
2358,189
998,111
2508,208
2646,210
2046,223
1030,206
330,111
1711,142
1537,110
2266,205
1699,141
1699,141
1735,144
6370,181
3324,276
1711,142
1305,142
5700,189
1665,331
3516,278
2943,246
788,110
1735,144
3222,3189
1728,144
2838,257
1305,142
998,111
199,192
6860,189
1711,142
3235,246
540,181
1305,142
336,144
2205,208
1198,141
531,209
25024,782
5247,347
1537,111
1735,144
2304,192
1020,337
513,223
330,133
770,111
783,144
524,211
1512,505
2919,1317
1146,413
2820,220
369,181
1735,144
1711,142
3389,223
3930,262
419,141
9510,518
2862,176
1537,111
2185,166
1790,142
1976,211
1230,144
678,222
419,144
400,153
2502,181
5409,438
327,141
1320,110
1698,142
1323,144
1237,209
1410,280
1699,141
327,141
2170,2100
1571,352
1699,141
1735,144
1735,144
1704,142
1728,144
1356,113
998,111
414,178
143,142
2441,189
426,142
2538,111
11220,110
1128,189
334,142
1704,142
728,144
2669,223
355,153
11130,370
1711,142
382,190
336,111
4280,189
330,142
3450,178
1704,142
4897,347
1125,142
1699,141
998,111
330,142
398,111
839,136
353,111
4566,318
6860,191
3802,208
5597,348
2721,179
2185,166
2634,209
1236,413
515,223
1699,141
5423,1802
336,144
9793,348
1987,111
2988,249
1320,110
24879,2079
4235,505
1711,142
1711,142
5796,330
1790,142
2300,447
3030,303
1344,189
1732,279
694,199
423,142
1711,142
2185,166
4541,345
2172,180
8040,665
1305,142
1699,141
860,372
531,208
